verified;variant;url;title;rating;product;images;date;content;author;Split_4;Split_3;Split_2;Split_1;Sentiment_4;Sentiment_3;Sentiment_2;Sentiment_1;Keywords_4;Keywords_3;Keywords_2;Keywords_1
Yes;Color: Rose Gold;https://www.amazon.com/Apple-iPhone-32GB-Rose-Renewed/product-reviews/B0731HBTZ7/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews;Great  product;5.0;Apple iPhone 7, GSM Unlocked, 32GB - Rose Gold (Renewed);;17 Apr 2021;Bought it for my daughter.;Riffrockerdon;xyz;xyz;xyz;Bought it for my daughter.;other;other;other;other;['xyz'];['xyz'];['xyz'];['daughter', 'bought', 'my']
Yes;Color: Matte Black;https://www.amazon.com/Apple-iPhone-32GB-Rose-Renewed/product-reviews/B0731HBTZ7/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews;Phone would only work with T-mobile when it had been advertised as fully unlocked;1.0;Apple iPhone 7, GSM Unlocked, 32GB - Rose Gold (Renewed);;17 Apr 2021;This phone would only work with a t-mobile sim card.;Jim Ryan;xyz;xyz;xyz;This phone would only work with a t-mobile sim card.;other;other;other;other;['xyz'];['xyz'];['xyz'];['mobile', 'phone', 'only']
