verified;variant;url;title;rating;product;images;date;content;author;Split_4;Split_3;Split_2;Split_1;Sentiment_4;Sentiment_3;Sentiment_2;Sentiment_1;Keywords_4;Keywords_3;Keywords_2;Keywords_1
Yes;Color: Rose Gold;https://www.amazon.com/Apple-iPhone-32GB-Rose-Renewed/product-reviews/B0731HBTZ7/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews;It work for awhile;3.0;Apple iPhone 7, GSM Unlocked, 32GB - Rose Gold (Renewed);;26 Apr 2021;Had to return it . Purchase it on February 22, 2021 just returned it today. The screen turn green and the screen had lines / and everything was double on the screen. I'm ok no problems with returning the item. I purchase it for my daughter. When I get refund I will purchase and other for her. Not going to put alot of money into a phone for a teenager.;Sunflower 🌻;I'm ok no problems with returning the item.;The screen turn green and the screen had lines / and everything was double on the screen.;Purchase it on February 22, 2021 just returned it today.;Had to return it .;bug;other;other;other;['ok', 'returning', 'with'];['green', 'screen', 'everything'];['2021', 'february', '22'];['return', 'had', 'to']
Yes;Color: Matte Black;https://www.amazon.com/Apple-iPhone-32GB-Rose-Renewed/product-reviews/B0731HBTZ7/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews;waste.  Had to chase them down through Amazon for a refund for defective phone;1.0;Apple iPhone 7, GSM Unlocked, 32GB - Rose Gold (Renewed);;26 Apr 2021;Volume speaker earpiece nothing worked now I’m having to secondary request for a refund through Amazon;Joe;xyz;xyz;xyz;Volume speaker earpiece nothing worked now I’m having to secondary request for a refund through Amazon;other;other;other;other;['xyz'];['xyz'];['xyz'];['amazon', 'refund', 'nothing']
Yes;Color: Matte Black;https://www.amazon.com/Apple-iPhone-32GB-Rose-Renewed/product-reviews/B0731HBTZ7/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews;Not unlocked;1.0;Apple iPhone 7, GSM Unlocked, 32GB - Rose Gold (Renewed);;26 Apr 2021;Not unlocked for tmobile, seller will not answer me will be returning product.;TTt;xyz;xyz;xyz;Not unlocked for tmobile, seller will not answer me will be returning product.;other;other;other;other;['xyz'];['xyz'];['xyz'];['seller', 'tmobile', 'returning']
Yes;Color: Matte Black;https://www.amazon.com/Apple-iPhone-32GB-Rose-Renewed/product-reviews/B0731HBTZ7/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews;Grandioso;5.0;Apple iPhone 7, GSM Unlocked, 32GB - Rose Gold (Renewed);;26 Apr 2021;El teléfono está en excelente estado tengo un tiempo usando y sigue como lo compre y sigue funcionado bien =);Walter;xyz;xyz;xyz;El teléfono está en excelente estado tengo un tiempo usando y sigue como lo compre y sigue funcionado bien =);other;other;other;other;['xyz'];['xyz'];['xyz'];['usando', 'tengo', 'estado']
