verified;variant;url;title;rating;product;images;date;content;author;Split_4;Split_3;Split_2;Split_1;Sentiment_4;Sentiment_3;Sentiment_2;Sentiment_1;Keywords_4;Keywords_3;Keywords_2;Keywords_1
Yes;Color: Matte Black;https://www.amazon.com/Apple-iPhone-32GB-Rose-Renewed/product-reviews/B0731HBTZ7/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews;Works, but a lot of scratches and dings on screen and edges.;2.0;Apple iPhone 7, GSM Unlocked, 32GB - Rose Gold (Renewed);;08 Jun 2021;Probably better off getting a used phone off ebay.;David;xyz;xyz;xyz;Probably better off getting a used phone off ebay.;other;other;other;other;['xyz'];['xyz'];['xyz'];['ebay', 'phone', 'better']
Yes;Color: Matte Black;https://www.amazon.com/Apple-iPhone-32GB-Rose-Renewed/product-reviews/B0731HBTZ7/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews;The phone gets really hot when u doing more than one thing on it;2.0;Apple iPhone 7, GSM Unlocked, 32GB - Rose Gold (Renewed);;08 Jun 2021;The phone gets really hot on the charger;Unknown;xyz;xyz;xyz;The phone gets really hot on the charger;other;other;other;bug;['xyz'];['xyz'];['xyz'];['hot', 'phone', 'charger']
