"title";"content";"date";"variant";"verified";"images";"author";"rating";"product";"url"
"Thanks";"Full of dust couldn’t hear incoming calls or play sounds on the speakers";"21 May 2021";"Color: Matte Black";"Yes";"";"J Dos Santos";"1.0";"Apple iPhone 7, GSM Unlocked, 32GB - Rose Gold (Renewed)";"https://www.amazon.com/Apple-iPhone-32GB-Rose-Renewed/product-reviews/B0731HBTZ7/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews"
"Good for someone else.";"Wrong phone for what I needed.";"19 May 2021";"Color: Jet Black";"Yes";"";"The book its self is a very fine book. to read and those who don't like the book well that his op";"3.0";"Apple iPhone 7, GSM Unlocked, 32GB - Rose Gold (Renewed)";"https://www.amazon.com/Apple-iPhone-32GB-Rose-Renewed/product-reviews/B0731HBTZ7/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews"
"Easy";"So easy my husband could use it";"15 May 2021";"Color: Matte Black";"Yes";"";"Amazon Customer";"5.0";"Apple iPhone 7, GSM Unlocked, 32GB - Rose Gold (Renewed)";"https://www.amazon.com/Apple-iPhone-32GB-Rose-Renewed/product-reviews/B0731HBTZ7/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews"
"Think before you act";"Phone arrived WAY LATE, arrived VERY DIRTY!";"14 May 2021";"Color: Rose Gold";"Yes";"";"Judy";"1.0";"Apple iPhone 7, GSM Unlocked, 32GB - Rose Gold (Renewed)";"https://www.amazon.com/Apple-iPhone-32GB-Rose-Renewed/product-reviews/B0731HBTZ7/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews"
"Touchscreen doesn’t work don’t buy";"I bought this refurbished iPhone for my son for Christmas and it has not worked properly since January. The touchscreen feature that you need to unlock the phone does not work. You used to be able to hard boot it, then the touchscreen would work but now that doesn’t even work. I’ve contacted the seller twice and have not heard back from them. Waste of $200. Don’t use this seller.";"12 May 2021";"Color: Matte Black";"Yes";"";"Jesma Greenstein";"1.0";"Apple iPhone 7, GSM Unlocked, 32GB - Rose Gold (Renewed)";"https://www.amazon.com/Apple-iPhone-32GB-Rose-Renewed/product-reviews/B0731HBTZ7/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews"
"Not worth it";"I got the phone and it battery life was already at 80% so it was not refurbished";"12 May 2021";"Color: Matte Black";"Yes";"";"Fidel";"1.0";"Apple iPhone 7, GSM Unlocked, 32GB - Rose Gold (Renewed)";"https://www.amazon.com/Apple-iPhone-32GB-Rose-Renewed/product-reviews/B0731HBTZ7/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews"
"Amazing";"No Issues";"11 May 2021";"Color: Matte Black";"Yes";"";"D...";"5.0";"Apple iPhone 7, GSM Unlocked, 32GB - Rose Gold (Renewed)";"https://www.amazon.com/Apple-iPhone-32GB-Rose-Renewed/product-reviews/B0731HBTZ7/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews"
"Buen rendimiento";"Buen equipo, me sirve mucho para el trabajo";"10 May 2021";"Color: Matte Black";"Yes";"https://images-na.ssl-images-amazon.com/images/I/81WNeZM-mVL._SY88.jpg";"Jose collazos";"5.0";"Apple iPhone 7, GSM Unlocked, 32GB - Rose Gold (Renewed)";"https://www.amazon.com/Apple-iPhone-32GB-Rose-Renewed/product-reviews/B0731HBTZ7/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews"
"Broken......";"Unfortunately, this was purchased for my elderly mother and the speaker phone did not work. Nor will the battery charge, she can only use it while plugged in. I’m in the process of attempting an exchange.";"09 May 2021";"Color: Matte Black";"Yes";"";"Jennifer Schofield";"1.0";"Apple iPhone 7, GSM Unlocked, 32GB - Rose Gold (Renewed)";"https://www.amazon.com/Apple-iPhone-32GB-Rose-Renewed/product-reviews/B0731HBTZ7/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews"
"Don't do it";"I will never buy another phone from Amazon. The speaker did not work I could not hear them an they could not hear me.";"06 May 2021";"Color: Matte Black";"Yes";"";"Edwana";"1.0";"Apple iPhone 7, GSM Unlocked, 32GB - Rose Gold (Renewed)";"https://www.amazon.com/Apple-iPhone-32GB-Rose-Renewed/product-reviews/B0731HBTZ7/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews"
"Battery problem";"Battery runs down fast";"06 May 2021";"Color: Matte Black";"Yes";"";"Delroy cornette";"1.0";"Apple iPhone 7, GSM Unlocked, 32GB - Rose Gold (Renewed)";"https://www.amazon.com/Apple-iPhone-32GB-Rose-Renewed/product-reviews/B0731HBTZ7/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews"
"Screen";"Alittle after I got it, it started this weird glitch thing. I meant to write about this when I first noticed the issue.";"05 May 2021";"Color: Rose Gold";"Yes";"";"S09H1A";"1.0";"Apple iPhone 7, GSM Unlocked, 32GB - Rose Gold (Renewed)";"https://www.amazon.com/Apple-iPhone-32GB-Rose-Renewed/product-reviews/B0731HBTZ7/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews"
"I love it";"It’s been working so far ..and the battery is better than my old phone .";"05 May 2021";"Color: Gold";"Yes";"";"Mel";"5.0";"Apple iPhone 7, GSM Unlocked, 32GB - Rose Gold (Renewed)";"https://www.amazon.com/Apple-iPhone-32GB-Rose-Renewed/product-reviews/B0731HBTZ7/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews"
"Warning: hacked device";"This cell was hacked to function and completely locked up as corporate cell after a factory reset. No option to install/delete any apps or perform another reset. Seller was not willing to exchange as this only became visible after the 90day warranty period. I consider this fraud and have reported it accordingly.";"05 May 2021";"Color: Matte Black";"Yes";"";"F";"1.0";"Apple iPhone 7, GSM Unlocked, 32GB - Rose Gold (Renewed)";"https://www.amazon.com/Apple-iPhone-32GB-Rose-Renewed/product-reviews/B0731HBTZ7/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews"
"Awesome but a bit time-consuming.";"When transferring data from my old IPhone to this one, it took longer than I thought and I got to worrying if the battery would have enough charge to complete the process.  So I suggest having fully charged and IOS updated phones before the transfer process.";"04 May 2021";"Color: Matte Black";"Yes";"";"larry w. boelman";"5.0";"Apple iPhone 7, GSM Unlocked, 32GB - Rose Gold (Renewed)";"https://www.amazon.com/Apple-iPhone-32GB-Rose-Renewed/product-reviews/B0731HBTZ7/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews"
"I bought this with the bundle, that includes case and two glass screen protectors. Great buy!";"Great value for the money. The battery last long and I love the low power mode, just in case I forget my charger.";"04 May 2021";"Color: Gold";"Yes";"";"Carolann Mannings";"5.0";"Apple iPhone 7, GSM Unlocked, 32GB - Rose Gold (Renewed)";"https://www.amazon.com/Apple-iPhone-32GB-Rose-Renewed/product-reviews/B0731HBTZ7/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews"
"Excelente dispositivo";"Hace algunos años que lo compre y aún sigue intacto, lo recomiendo 👍🏻";"04 May 2021";"Color: Rose Gold";"Yes";"";"Ken";"5.0";"Apple iPhone 7, GSM Unlocked, 32GB - Rose Gold (Renewed)";"https://www.amazon.com/Apple-iPhone-32GB-Rose-Renewed/product-reviews/B0731HBTZ7/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews"
"It don't  work";"The phone stop worker after 3 months smh It says no service and it has restriction on it now. That's what my phone company told me.";"01 May 2021";"Color: Matte Black";"Yes";"";"Shecrita Powell";"1.0";"Apple iPhone 7, GSM Unlocked, 32GB - Rose Gold (Renewed)";"https://www.amazon.com/Apple-iPhone-32GB-Rose-Renewed/product-reviews/B0731HBTZ7/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews"
"It work for awhile";"Had to return it . Purchase it on February 22, 2021 just returned it today. The screen turn green and the screen had lines / and everything was double on the screen. I'm ok no problems with returning the item. I purchase it for my daughter. When I get refund I will purchase and other for her. Not going to put alot of money into a phone for a teenager.";"26 Apr 2021";"Color: Rose Gold";"Yes";"";"Sunflower 🌻";"3.0";"Apple iPhone 7, GSM Unlocked, 32GB - Rose Gold (Renewed)";"https://www.amazon.com/Apple-iPhone-32GB-Rose-Renewed/product-reviews/B0731HBTZ7/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews"
